house_area,house_fitmend,house_located,house_name,house_room,house_towards,total_price,unit_price
63,精装,亚运村,安慧里一区 ,2室1厅,南 北,460,73016
123,简装,武夷花园,BOBO自由城 ,3室1厅,南 北,750,60976
59,精装,健翔桥,安翔里小区 ,2室1厅,南 北,415,69960
89,精装,望京,炫彩嘉轩 ,2室1厅,东南,745,82990
139,精装,广安门,朗琴园 ,3室1厅,南 北,1350,96664
58,简装,西三旗,常秀家园 ,2室1厅,南 北,350,59830
143,精装,亚运村小营,宝石花苑 ,3室1厅,南 北,1400,97297
105,简装,阜成门,南露园 ,3室1厅,南 北,1100,103872
54,毛坯,石景山其它,隆恩寺18号院 ,2室1厅,南 北,192,35172
75,精装,亚运村小营,安慧东里 ,3室1厅,南 西 北,548,72960
61,简装,金融街,新文化街 ,2室1厅,西南,820,133987
51,其他,六铺炕,教场口6号院 ,1室1厅,南 北,655,127507
30,精装,广安门,荣丰2008 ,1室1厅,北,395,127502
91,精装,鲁谷,聚兴园 ,2室1厅,南 北,533,57967
71,简装,六铺炕,德外大街乙12号院 ,3室1厅,南 北,900,125699
60,精装,朝阳门内,仓南胡同12号院 ,2室1厅,南 北,765,127437
101,精装,通州北苑,新华联锦园 ,2室1厅,南 北,452,44576
50,精装,东四,美术馆后街 ,1室1厅,南,580,115377
59,精装,回龙观,龙博苑二区 ,1室1厅,南,338,57114
71,简装,新华大街,鼎晟国际 ,2室1厅,西,332,46441
55,精装,和平里,和平新城一期 ,1室1厅,北,565,101237
59,简装,团结湖,团结湖北四条 ,2室1厅,南,400,67431
89,精装,天通苑,天通苑东一区 ,2室1厅,南 北,385,42979
46,简装,北工大,磨房北里 ,1室1厅,南,283,60756
90,简装,定福庄,定福家园2号院 ,2室1厅,南 北,426,46943
180,精装,CBD,金地国际花园 ,3室1厅,西南 北,1900,105392
124,精装,回龙观,天露园一区 ,3室1厅,南 北,479,38567
47,简装,六铺炕,六铺炕二区 ,1室1厅,南,688,145763
92,简装,劲松,农光里 ,2室2厅,东 西,530,57156
98,精装,朝青,润枫水尚 ,2室2厅,西北,828,83866
90,简装,花乡,天伦锦城 ,2室1厅,南 北,422,46620
86,精装,望京,大西洋新城A区 ,2室2厅,南 北,830,96434
97,简装,顺义其它,东方太阳城 ,2室1厅,南 北,400,41005
70,简装,和平里,和平西街 ,2室1厅,东 北,490,69911
81,精装,北关,翠福园 ,2室1厅,南 北,324,39897
63,精装,广渠门,幸福家园三期 ,1室1厅,东,700,109547
55,精装,看丹桥,韩庄子三里 ,2室1厅,南,293,52416
63,简装,安贞,安贞里 ,2室1厅,南 北,490,77667
59,简装,枣园,滨河西里 ,2室1厅,南 北,258,43159
46,精装,右安门内,新安中里 ,2室1厅,东北,420,91087
102,简装,天通苑,天通苑本四区 ,2室1厅,南 北,390,38221
67,精装,霍营,华龙苑中里 ,2室1厅,南 北,343,50898
33,精装,清河,清缘东里 ,1室1厅,东北,288,85032
95,简装,玉泉营,万年花城三期 ,2室1厅,南,620,64888
66,精装,广渠门,忠实里 ,2室1厅,东 西,560,84580
63,精装,东大桥,核桃园北里 ,2室1厅,南 北,520,81263
41,简装,红庙,呼家楼北街 ,1室1厅,南,305,73459
215,精装,望京,CLASS ,4室1厅,南 北,2400,111628
111,精装,回龙观,新龙城 ,3室2厅,南 北,610,54660
77,其他,西三旗,建材城东二里 ,2室1厅,南 北,399,51538
60,其他,枣园,滨河西里 ,2室1厅,南 北,268,44072
46,简装,潘家园,松榆西里 ,1室1厅,东,280,60203
73,精装,顺义城,东兴一区 ,2室1厅,南 北,267,36337
90,简装,顺义城,西辛北区 ,3室1厅,南 北,298,32947
57,简装,团结湖,团结湖北五条 ,2室1厅,南 北,358,62763
55,精装,新宫,翠海明苑 ,1室1厅,南 北,330,59130
50,精装,亚运村,安慧北里秀园 ,1室1厅,南 北,385,75952
75,简装,成寿寺,苇子坑1号院 ,3室1厅,东 北,358,47493
49,精装,玉泉营,万年花城四期 ,1室0厅,西,320,64883
59,精装,崇文门,新景家园东区 ,1室1厅,南,600,101215
188,精装,欢乐谷,北京华侨城2号院 ,4室2厅,南 北,1330,70389
